hex,type,flight,r,t,alt_baro,alt_geom,gs,track,baro_rate,squawk,emergency,category,nav_qnh,nav_altitude_mcp,nav_heading,lat,lon,nic,rc,seen_pos,version,nic_baro,nac_p,nac_v,sil,sil_type,gva,sda,alert,spi,mlat,tisb,messages,seen,rssi,dbFlags,geom_rate,nav_modes,true_heading,timestamp
abe862,adsb_icao,N8666Y  ,N8666Y,PA30,9500,9875.0,151.1,181.9,,1200,none,A1,,,,28.215311,-82.028288,9,75,0.091,2.0,0.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],922841,0.0,-15.5,8.0,-384.0,,,2024-09-21 18:03:03.773572+00:00
a8ea6d,adsb_icao,N67387  ,N67387,C152,7600,7800.0,90.2,328.6,,1200,none,A1,,,,28.399565,-82.005238,9,75,0.0,2.0,0.0,9.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],4001342,0.0,-14.4,,128.0,,,2024-09-21 18:03:03.773572+00:00
a772c8,adsb_icao,N5794M  ,N5794M,C310,1200,1150.0,118.1,272.43,-384.0,1200,none,A1,1013.6,,350.86,27.957691,-82.005023,9,75,0.425,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],16083,0.4,-8.9,,,,,2024-09-21 18:03:03.773572+00:00
aa353f,adsb_icao,N757NJ  ,N757NJ,C152,2025,2100.0,64.1,2.68,,1200,none,A1,,,,27.740707,-81.994543,10,25,0.426,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],703144,0.4,-21.3,,704.0,,,2024-09-21 18:03:03.773572+00:00
ac983e,adsb_icao,N910SC  ,N910SC,F900,6975,7200.0,239.7,38.73,,2311,none,A2,,,,28.467112,-81.991021,8,186,0.0,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],3063336,0.0,-12.3,8.0,0.0,,,2024-09-21 18:03:03.773572+00:00
a0106a,adsb_icao,N103FV  ,N103FV,C172,2750,2750.0,76.0,20.82,,1200,none,A1,,,,28.076294,-81.989646,10,25,0.673,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],2880684,0.3,-7.0,,0.0,,,2024-09-21 18:03:03.773572+00:00
a5ef47,adsb_icao,N4814U  ,N4814U,C210,3000,3000.0,113.8,337.26,,1200,none,A1,,,,28.222248,-81.989082,7,371,0.0,2.0,0.0,10.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],899943,0.0,-10.5,,-64.0,,,2024-09-21 18:03:03.773572+00:00
a1f8e4,adsb_icao,N226SJ  ,N226SJ,GLEX,14025,14650.0,320.0,65.84,-1152.0,6727,none,A3,1012.8,7008.0,,28.054962,-81.965138,8,186,0.0,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],3581690,0.0,-14.0,,,,,2024-09-21 18:03:03.773572+00:00
a6a902,adsr_icao,N5280D  ,N5280D,C172,3500,3600.0,102.7,138.55,256.0,4621,none,A1,,,,27.893868,-81.950508,7,371,1.33,,0.0,8.0,0.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],1624333,1.3,-8.3,,320.0,,,2024-09-21 18:03:03.773572+00:00
a127b9,adsb_icao,N17371  ,N17371,C150,2700,2750.0,74.5,353.07,-128.0,1200,none,A1,,,,28.197296,-81.92031,9,75,0.355,2.0,0.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],['baro_rate'],930015,0.0,-13.7,,-64.0,,,2024-09-21 18:03:03.773572+00:00
a72715,adsb_icao,N560BT  ,N560BT,C56X,24775,26050.0,349.5,342.34,1280.0,1442,none,A2,1013.6,43008.0,,27.525146,-81.915565,9,75,0.0,2.0,1.0,10.0,2.0,3.0,perhour,2.0,3.0,0.0,0.0,[],[],1616949,0.0,-15.2,,,,,2024-09-21 18:03:03.773572+00:00
abf512,adsb_icao,N87MB   ,N87MB,PA34,2900,2925.0,94.0,91.22,,1200,none,A1,,,,28.293274,-81.909626,9,75,0.356,2.0,0.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],841292,0.0,-9.0,,-128.0,,,2024-09-21 18:03:03.773572+00:00
a713ee,adsb_icao,N555VW  ,N555VW,BE9L,1850,1775.0,225.4,171.58,-1536.0,1200,none,A1,1012.8,2912.0,177.89,27.565535,-81.90783,9,75,19.533,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],['geom_rate'],1281753,4.5,-6.4,,-1600.0,['althold'],,2024-09-21 18:03:03.773572+00:00
a2e0b2,adsb_icao,N285BL  ,N285BL,P28A,2575,2575.0,91.2,350.54,-192.0,1200,none,A1,1011.2,2496.0,359.3,27.672638,-81.890276,9,75,3.424,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],7273813,3.4,-27.0,,,['althold'],,2024-09-21 18:03:03.773572+00:00
ad9cd9,adsb_icao,N9764F  ,N9764F,C172,2500,2525.0,116.1,159.85,,2634,none,A1,,,,27.906065,-81.874554,9,75,0.499,2.0,0.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],4634544,0.5,-13.1,,0.0,,,2024-09-21 18:03:03.773572+00:00
a6f2ce,adsr_icao,CXK341  ,N547K,P28A,1075,975.0,88.3,85.45,512.0,,,A1,,,,27.624284,-81.858603,8,186,0.673,,0.0,9.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],3956054,0.7,-6.7,8.0,,,,2024-09-21 18:03:03.773572+00:00
a70396,adsb_icao,N551ER  ,N551ER,C172,6075,6275.0,101.5,206.31,-128.0,2667,none,A1,,,,28.321218,-81.833712,9,75,0.0,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],793862,0.0,-7.2,,,,,2024-09-21 18:03:03.773572+00:00
a6adb1,adsb_icao,N5297G  ,N5297G,C172,2600,2600.0,108.5,189.55,-384.0,1200,none,A1,,,,27.667694,-81.822441,9,75,0.673,2.0,0.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],['baro_rate'],5565347,0.0,-8.6,,-448.0,,,2024-09-21 18:03:03.773572+00:00
a5d627,adsb_icao,N47509  ,N47509,P28A,2700,2725.0,104.0,89.45,,1200,none,A1,,,,27.655707,-81.80721,9,75,0.623,2.0,0.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],1113550,0.6,-21.1,,-384.0,,,2024-09-21 18:03:03.773572+00:00
a5448b,adsb_icao,N43899  ,N43899,P28A,3900,3900.0,78.2,4.4,,1200,none,A1,,,,27.645233,-81.794005,9,75,0.65,2.0,0.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],7192797,0.5,-19.6,,-64.0,,,2024-09-21 18:03:03.773572+00:00
a052ea,adsb_icao,N12SA   ,N12SA,C172,1175,1100.0,99.2,175.96,-128.0,1200,none,A1,1013.6,1216.0,,28.261631,-81.783034,9,75,0.325,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],5764154,0.0,-19.0,,,,,2024-09-21 18:03:03.773572+00:00
a66e34,adsb_icao,N513SR  ,N513SR,SR22,9025,9375.0,155.4,144.16,,1550,none,A1,,,,27.700653,-81.779584,9,75,0.076,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],441711,0.1,-19.5,,0.0,,,2024-09-21 18:03:03.773572+00:00
a2dcfb,adsb_icao,N284BL  ,N284BL,P28A,750,625.0,89.0,158.92,-192.0,1200,none,A1,1012.8,992.0,136.41,28.056289,-81.773556,9,75,5.366,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],6398708,4.0,-14.7,,,[],,2024-09-21 18:03:03.773572+00:00
a8358c,adsb_icao,N628SG  ,N628SG,C172,3075,3100.0,86.1,350.65,-320.0,1200,none,A1,1013.6,3200.0,,28.274231,-81.763634,9,75,0.292,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],3012551,0.0,-16.8,,,,,2024-09-21 18:03:03.773572+00:00
a7a616,adsb_icao,DAL1747 ,N592NW,B753,9025,9350.0,267.3,135.61,-64.0,5760,none,A4,1012.8,8992.0,139.92,28.432159,-81.747419,8,186,0.0,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],['geom_rate'],28217179,0.0,-8.9,,-320.0,,,2024-09-21 18:03:03.773572+00:00
a5a09d,adsb_icao,N46168  ,N46168,C172,500,450.0,88.1,65.18,,1200,none,A1,,,,28.030732,-81.74302,9,75,40.135,2.0,0.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],760036,30.9,-13.9,,-320.0,,,2024-09-21 18:03:03.773572+00:00
aa7823,adsb_icao,CAP847  ,N774CP,C182,4050,4075.0,124.8,118.21,320.0,6052,none,A1,1013.6,4000.0,,28.129097,-81.728264,9,75,0.0,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],1950464,0.0,-11.4,,,['althold'],,2024-09-21 18:03:03.773572+00:00
a4524c,adsb_icao,N378JA  ,N378JA,P28A,5025,5125.0,108.1,168.79,-320.0,1163,none,A1,1013.6,4992.0,,28.114471,-81.681501,9,75,0.39,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],2150013,0.0,-18.4,,,['althold'],,2024-09-21 18:03:03.773572+00:00
ad7f96,adsb_icao,SWA3074 ,N969WN,B737,8675,9050.0,277.7,85.87,-1024.0,2520,none,A3,1012.8,6016.0,90.0,28.168806,-81.610323,8,186,0.0,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],29273914,0.0,-13.9,,,,,2024-09-21 18:03:03.773572+00:00
a9e984,adsb_icao,N738HT  ,N738HT,C172,2000,1975.0,90.8,64.56,,1200,none,A1,,,,28.143202,-81.608653,9,75,0.623,2.0,0.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],169553,0.4,-5.9,,64.0,,,2024-09-21 18:03:03.773572+00:00
a803d4,adsb_icao,N6151H  ,N6151H,P28A,8500,8675.0,103.3,223.43,,1200,none,A1,,,,27.848899,-81.601322,9,75,0.356,2.0,0.0,9.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],2943516,0.1,-19.5,,-64.0,,,2024-09-21 18:03:03.773572+00:00
a712a5,adsb_icao,N555GS  ,N555GS,F2TH,8.0,10675,11125.0,307.7,109.55,-1024.0,1670,none,A2,1012.0,6016.0,27.936277,-83.285927,8,186,0.257,2.0,1.0,10.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],2254588,0.0,-16.9,,,,,,2024-09-21 18:18:05.587536+00:00
abc1bc,adsb_icao,DAL2226 ,N857DZ,B739,,27000,28500.0,491.0,158.24,,2476,none,A3,1013.6,27008.0,27.857837,-82.919998,8,186,0.373,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],27708672,0.1,-11.3,0.0,160.31,,,,2024-09-21 18:18:05.587536+00:00
a3d79a,adsr_icao,CXK480  ,N347D,P28A,8.0,4300,4375.0,102.7,353.29,64.0,1200,none,A1,,,28.077576,-82.915878,0,186,0.498,,0.0,9.0,0.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],4089353,0.4,-4.6,64.0,,,,,2024-09-21 18:18:05.587536+00:00
a662b7,adsb_icao,N510PC  ,N510PC,TAMP,,1525,1450.0,92.1,98.75,-64.0,1200,none,A1,,,27.932506,-82.888465,10,25,0.458,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],3537401,0.3,-12.2,,,,,,2024-09-21 18:18:05.587536+00:00
a8b37b,adsb_icao,N66SL   ,N66SL,,,7525,7650.0,123.0,0.0,,0145,none,A1,1012.8,7488.0,28.091948,-82.869873,9,75,0.324,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],362907,0.1,-8.4,0.0,7.03,"['autopilot', 'althold']",,,2024-09-21 18:18:05.587536+00:00
a46303,adsr_icao,CXK344  ,N382D,P28A,8.0,5425,5550.0,93.9,104.18,-320.0,1200,none,A1,,,28.211334,-82.865383,0,0,0.324,,,,0.0,,perhour,,,0.0,0.0,['baro_rate'],[],3915910,0.3,-12.6,-68.0,,,,,2024-09-21 18:18:05.587536+00:00
a85c3d,adsb_icao,N638JA  ,N638JA,P28A,,4025,4125.0,108.0,180.0,,3741,none,A1,1012.8,4000.0,28.158691,-82.836861,9,75,0.696,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],5809162,0.4,-10.7,0.0,180.0,"['autopilot', 'althold']",,,2024-09-21 18:18:05.587536+00:00
add1f7,adsb_icao,N99TD   ,N99TD,BE58,,2525,2550.0,152.0,270.75,,0135,none,A1,1012.0,2496.0,27.909975,-82.826614,9,75,0.039,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],278001,0.0,-3.9,64.0,277.73,"['autopilot', 'althold', 'lnav']",,,2024-09-21 18:18:05.587536+00:00
a615d0,adsb_icao,SWA1156 ,N491WN,B737,,33000,34850.0,443.8,117.95,,3453,none,A3,1013.6,4992.0,27.23909,-82.793746,8,186,0.154,2.0,1.0,8.0,1.0,3.0,perhour,1.0,2.0,0.0,0.0,[],[],28483784,0.2,-11.2,0.0,116.02,,,,2024-09-21 18:18:05.587536+00:00
ad5c89,adsb_icao,DAL3104 ,N960DZ,B739,,24475,25800.0,443.0,0.39,,3340,none,A3,1013.6,32000.0,28.308746,-82.785416,8,186,0.039,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],17176128,0.0,-10.6,1216.0,7.73,,,,2024-09-21 18:18:05.587536+00:00
abd764,adsb_icao,N862MM  ,N862MM,R44,,600,525.0,78.4,142.25,128.0,1200,none,A7,,,27.766781,-82.776067,9,75,0.36,2.0,0.0,9.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],1695475,0.4,-10.4,,,,,,2024-09-21 18:18:05.587536+00:00
ac8cef,adsb_icao,N908AL  ,N908AL,SR22,,925,850.0,164.8,161.24,,0177,none,A1,1012.0,992.0,27.741257,-82.773017,9,75,0.039,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],1719017,0.0,-10.3,-192.0,165.94,"['autopilot', 'althold']",,,2024-09-21 18:18:05.587536+00:00
abe2b0,adsb_icao,N865PA  ,N865PA,C172,,ground,,16.5,,,1200,none,A1,,,27.977313,-82.758596,9,75,1.164,2.0,,10.0,2.0,3.0,perhour,,2.0,,,[],[],5114022,0.3,-17.1,,,,154.69,,2024-09-21 18:18:05.587536+00:00
a0ba91,adsb_icao,N146SG  ,N146SG,R44,,ground,,0.3,337.5,,0267,none,A7,,,27.974962,-82.756105,9,75,11.825,2.0,,10.0,2.0,3.0,perhour,,2.0,,,[],[],1385111,11.8,-17.2,,,,,,2024-09-21 18:18:05.587536+00:00
acca85,adsb_icao,NKS840  ,N923NK,A20N,,17475,18325.0,384.7,336.57,,1463,none,A3,1012.8,26016.0,28.458221,-82.753978,8,186,0.154,2.0,1.0,10.0,4.0,3.0,perhour,2.0,3.0,0.0,0.0,[],[],28381665,0.2,-13.3,2432.0,,,,,2024-09-21 18:18:05.587536+00:00
a1ccd4,adsb_icao,N215HR  ,N215HR,C172,,4575,4600.0,139.6,148.47,,7304,none,A1,1012.0,,27.576828,-82.729642,9,75,0.458,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],621573,0.0,-3.9,-1024.0,149.06,,,,2024-09-21 18:18:05.587536+00:00
a6db36,adsb_icao,N54067  ,N54067,C172,,1000,950.0,84.9,57.99,64.0,1200,none,A1,,,27.709847,-82.724991,9,75,0.36,2.0,0.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],6054274,0.4,-13.7,,,,,,2024-09-21 18:18:05.587536+00:00
a33286,adsb_icao,N305GL  ,N305GL,B06,,500,500.0,92.7,325.11,384.0,1200,none,A7,,,27.68074,-82.719692,9,75,0.039,2.0,0.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],76495,0.0,-6.4,,,,,,2024-09-21 18:18:05.587536+00:00
ad1175,adsb_icao,CXK363  ,N941G,P28A,8.0,2125,2050.0,97.3,94.71,,6603,none,A1,1012.8,2016.0,27.734894,-82.719329,9,75,0.458,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],5510770,0.0,-3.8,-576.0,,,,,2024-09-21 18:18:05.587536+00:00
a85c03,adsb_icao,TCF638  ,N638FT,P28A,,2700,2650.0,93.0,18.82,320.0,0162,none,A1,,,28.292588,-82.707178,9,75,1.355,2.0,0.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],5000921,0.3,-6.0,,,,,,2024-09-21 18:18:05.587536+00:00
a38024,adsr_icao,N8119Q  ,N3244V,BE35,,400,300.0,68.3,39.05,-128.0,,,A7,,,27.893372,-82.695387,8,186,0.36,,0.0,9.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],149828,0.4,-18.4,0.0,,,,,2024-09-21 18:18:05.587536+00:00
acbc25,adsb_icao,N92DJ   ,N92DJ,E55P,,ground,-75.0,50.5,351.0,,4647,none,A1,1012.8,2016.0,27.908867,-82.68821,9,75,0.257,2.0,1.0,10.0,2.0,3.0,perhour,2.0,3.0,0.0,0.0,[],[],4902425,0.3,-4.3,-384.0,,['approach'],351.56,,2024-09-21 18:18:05.587536+00:00
a1ca5c,adsb_icao,N214WK  ,N214WK,C182,,800,775.0,95.8,65.31,-512.0,1200,none,A1,,,27.741735,-82.678774,10,25,0.039,2.0,0.0,10.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],178145,0.0,-5.4,,,,,,2024-09-21 18:18:05.587536+00:00
aaadb2,adsb_icao,SWA1786 ,N7876A,B737,,28525,30075.0,474.1,260.04,,0764,none,A3,1013.6,34016.0,28.315155,-82.673545,8,186,0.039,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],18279717,0.0,-10.5,1344.0,258.05,,,,2024-09-21 18:18:05.587536+00:00
a5de4a,adsb_icao,N4776E  ,N4776E,C172,,500,400.0,81.2,337.54,-704.0,1200,none,A1,,,27.756306,-82.637417,9,75,0.36,2.0,0.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],6126666,0.0,-5.0,,,,,,2024-09-21 18:18:05.587536+00:00
a0704a,adsb_icao,N12713  ,N12713,C172,,2275,2225.0,115.9,291.25,-448.0,1200,none,A1,,,28.292123,-82.61094,8,186,0.493,2.0,1.0,9.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],3984701,0.3,-10.0,,,,,,2024-09-21 18:18:05.587536+00:00
a9b7d8,adsb_icao,N725TR  ,N725TR,B350,8.0,13250,13850.0,199.4,165.48,1152.0,0030,none,A1,1012.8,15008.0,27.765384,-82.605726,8,186,0.154,2.0,1.0,10.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],1950449,0.1,-10.8,,170.16,,,,2024-09-21 18:18:05.587536+00:00
a48f8c,adsb_icao,N393SP  ,N393SP,C172,,1000,875.0,82.8,42.55,-256.0,0136,none,A1,,,27.353806,-82.590033,9,75,0.389,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],6486146,0.4,-15.5,,,,,,2024-09-21 18:18:05.587536+00:00
a475d8,adsb_icao,FFT4092 ,N387FR,A20N,,14075,14700.0,365.7,356.39,,3674,none,A3,1012.8,26016.0,28.378756,-82.583151,8,186,0.133,2.0,1.0,10.0,4.0,3.0,perhour,2.0,3.0,0.0,0.0,[],[],30342895,0.0,-5.6,3136.0,,,,,2024-09-21 18:18:05.587536+00:00
a8834f,adsb_icao,N648DS  ,N648DS,DA40,,725,625.0,76.8,38.66,,4751,none,A1,1012.0,2592.0,27.370834,-82.574434,9,75,0.039,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],1504736,0.0,-8.9,-896.0,,,,,2024-09-21 18:18:05.587536+00:00
a994e4,adsr_icao,N7161T  ,N7161T,C172,,3200,3350.0,104.9,100.99,-256.0,,,A1,,,28.66539,-82.559087,8,186,11.56,,0.0,9.0,0.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],13845,11.6,-17.3,,,,,,2024-09-21 18:18:05.587536+00:00
a55342,other,EJA442  ,,,,ground,,19.5,292.0,,,,,,,27.396654,-82.554756,0,0,10.139,0.0,,,,,,,,,,[],[],1774456,10.1,-49.5,,,,314.62,320.62,2024-09-21 18:18:05.587536+00:00
a8f728,adsb_icao,EJA677  ,N677QS,C68A,,ground,,0.0,180.0,,1200,none,A2,,,27.393362,-82.547982,8,186,11.558,2.0,,10.0,2.0,3.0,perhour,,2.0,,,[],[],9991322,4.1,-29.7,,,,180.0,,2024-09-21 18:18:05.587536+00:00
ae2913,adsb_icao,C6036   ,6036,H60,1.0,575,500.0,120.8,25.5,0.0,1200,none,A7,,,28.300415,-82.54641,10,25,0.493,2.0,1.0,11.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],462872,0.5,-13.4,,,,,,2024-09-21 18:18:05.587536+00:00
a740f1,adsb_icao,CNS2013 ,N567AF,PC12,,1225,1175.0,121.5,174.81,,2127,none,A1,1012.0,1600.0,27.377138,-82.546357,8,186,0.039,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],9673196,0.0,-6.1,1280.0,180.0,[],135.0,,2024-09-21 18:18:05.587536+00:00
a45504,adsb_icao,N3788S  ,N3788S,C172,,2600,2700.0,76.9,69.44,448.0,1200,none,A1,,,28.324493,-82.542238,9,75,0.333,2.0,0.0,9.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],125909,0.3,-12.2,,,,,,2024-09-21 18:18:05.587536+00:00
aaf4c8,adsb_icao,DAL2587 ,N805DN,B739,,850,775.0,177.1,358.38,,1155,none,A3,1012.8,6016.0,28.0009,-82.54134,8,186,0.498,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],28907323,0.4,-13.4,2944.0,7.03,,2.81,,2024-09-21 18:18:05.587536+00:00
0c206a,adsb_icao,,HP-1728CMP,B738,,ground,,11.8,,,,,A3,,,27.974334,-82.537846,8,186,26.915,0.0,,8.0,,2.0,perhour,,,0.0,0.0,[],[],10680992,26.9,-12.7,,,,303.75,,2024-09-21 18:18:05.587536+00:00
ac3e80,adsb_icao,SWA3856 ,N8884Q,B38M,,125,50.0,149.1,1.92,,2161,none,A3,1012.8,2016.0,27.962769,-82.529086,8,186,14.855,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],29173792,4.9,-13.4,0.0,11.25,,,,2024-09-21 18:18:05.587536+00:00
a64430,adsb_icao,N5023S  ,N5023S,P28R,,1150,1000.0,125.2,143.77,,1200,none,A1,1012.0,1088.0,27.154619,-82.521797,9,75,0.484,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],2143519,0.3,-14.3,0.0,336.8,,,,2024-09-21 18:18:05.587536+00:00
a108c0,adsb_icao,N166J   ,N166J,VR7,,925,825.0,81.3,265.06,,1200,none,A1,,,27.625681,-82.517518,9,75,0.36,2.0,1.0,9.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],173157,0.0,-9.0,-256.0,,,,,2024-09-21 18:18:05.587536+00:00
